date,LightGBM
2024-01-03,5995.646270568879
2024-01-04,6024.724006277903
2024-01-05,6935.2810708078605
2024-01-06,6043.9482374031
2024-01-07,6012.910880937574
2024-01-08,6320.5771521613815
2024-01-09,8988.168654000427
2024-01-10,8985.550452636071
2024-01-11,9504.455275650607
2024-01-12,9472.839356931234
2024-01-13,10154.045200815248
2024-01-14,8845.257177690444
2024-01-15,9441.196455630146
2024-01-16,9356.013928314549
2024-01-17,9316.014045332557
2024-01-18,9876.795846088538
2024-01-19,8811.897764716714
2024-01-20,10927.129979471745
2024-01-21,9381.249199208765
2024-01-22,10084.779676833938
2024-01-23,8879.929144308184
2024-01-24,9857.000931034218
2024-01-25,10231.260383316443
2024-01-26,9670.469514933777
2024-01-27,9612.164261415037
2024-01-28,9838.40453598746
2024-01-29,8686.267239708299
2024-01-30,8264.89471578059
