date,Ridge
2024-01-03,5947.844755225618
2024-01-04,5826.180766264739
2024-01-05,7273.996754270527
2024-01-06,6179.167601480351
2024-01-07,5827.090006454793
2024-01-08,6460.987779334497
2024-01-09,8938.868210007788
2024-01-10,8922.341046185113
2024-01-11,9451.282915407293
2024-01-12,9355.221993690642
2024-01-13,10006.205265257517
2024-01-14,8806.582808689102
2024-01-15,9339.968976036995
2024-01-16,9244.804500640648
2024-01-17,9211.69382770302
2024-01-18,9786.772043946443
2024-01-19,8805.915746539062
2024-01-20,10602.469910554348
2024-01-21,9232.093397823715
2024-01-22,9992.081006868451
2024-01-23,8831.094516361418
2024-01-24,9785.08792622913
2024-01-25,10142.140722119857
2024-01-26,9631.828490765847
2024-01-27,9604.318916888224
2024-01-28,9756.56272182874
2024-01-29,8683.253500053901
2024-01-30,8315.480885307472
