model,grupa,MAE,RMSE,MAPE,Bias,MAE epidemia,MAPE epidemia,Bias epidemia,MAE bez epidemii,MAPE bez epidemii,Bias bez epidemii
naive,baseline,2460.0714285714284,2766.529414266185,27.042217527393408,-2386.214285714286,372.8333333333333,6.085849276195267,-28.166666666666668,3029.318181818182,32.75759068681109,-3029.318181818182
seasonal naive,baseline,2595.3571428571427,2945.887848219228,28.48880840991228,-2539.785714285714,466.6666666666667,7.450607195776642,-207.33333333333334,3175.909090909091,34.22649965013109,-3175.909090909091
średnia 28 dni,baseline,1053.5,1417.9439218675839,14.376176269407301,225.60714285714363,2583.654761904763,42.75884696936983,2583.654761904763,636.1850649350647,6.635447896690248,-417.49675324675246
ARIMAX,eksperyment 1,405.78706856641327,490.3598329617341,5.099749478015257,293.2116370339859,449.5514510003709,7.3712156333446925,203.67558992409053,393.85132790260667,4.480258708379956,317.63055897304827
SARIMAX,eksperyment 1 (porównawczy),409.2838809685075,495.3166204468404,5.142624047300313,300.57564087711165,450.303768652752,7.392103497991022,206.05643863631425,398.0966388728044,4.529129651657391,326.35360512460187
Ridge,eksperyment 2,374.0091700102979,448.3722799485825,4.719111043044815,220.69060685483035,442.34382278483343,7.2192812890351785,118.37794383842083,355.37244652633365,4.037246430501987,248.59406040476023
LightGBM,eksperyment 2,390.715469343418,474.62398305954855,4.87341195996717,276.31683421291734,382.48310036878985,6.2824711779584135,88.01460302611638,392.96066088195295,4.489123082333194,327.67198817295395
Ensemble zwykła średnia,eksperyment 2,389.62197739220215,467.01570206296765,4.890628855392089,263.4063593672447,423.6915823916008,6.939311722383894,136.68937892954287,380.3302669378208,4.331897164394323,297.9655358502543
Ensemble ważona średnia,eksperyment 2,383.4596970082867,459.26209008088904,4.827662151994565,244.38348713542797,437.82929489919417,7.158080570686219,136.66602127860793,368.63162485622104,4.192093492351386,273.7609778236516
